a, Determiner, একটি, আ
bleeding, Action Verb (Present Participle) | Noun, রক্তক্ষরণ হচ্ছে এমন, ব্লিডিং
blew, Action Verb (Past), প্রবাহিত হয়েছিল (বাতাস), ব্লু
blow, Action Verb | Noun, ফুঁ দেওয়া বা আঘাত, ব্লো
blown, Action Verb (Past Participle), প্রবাহিত হয়েছে এমন, ব্লোন
blue, Adjective | Noun, নীল রঙ, ব্লু
boat, Noun, নৌকা, বোট
bomb, Noun | Action Verb, বোমা, বোম
book, Noun | Action Verb, বই বা সংরক্ষণ করা, বুক
books, Noun (Plural), বইগুলো, বুকস
bore, Action Verb (Past) | Noun, বিরক্ত করা, বোর
borne, Action Verb (Past Participle), সহ্য করা হয়েছে এমন, বোর্ন
bottle, Noun, বোতল, বটল
bought, Action Verb (Past), কিনেছিল, বট
boy, Noun, বালক বা ছেলে, বয়
bravely, Adverb, সাহসের সাথে, ব্রেভলি
break, Action Verb | Noun, ভেঙে ফেলা বা বিরতি, ব্রেক
breaking, Action Verb (Present Participle), ভাঙছে এমন, ব্রেকিং
bridge, Noun, সেতু বা ব্রিজ, ব্রিজ
bring, Action Verb, আনা, ব্রিং
bringing, Action Verb (Present Participle), আনছে এমন, ব্রিঙ্গিং
broke, Action Verb (Past), ভেঙেছিল, ব্রোক
broken, Adjective | Action Verb (Past Participle), ভাঙা, ব্রোকেন
brother, Noun, ভাই, ব্রাদার
brought, Action Verb (Past), এনেছিল, ব্রট
build, Action Verb, নির্মাণ করা, বিল্ড
building, Noun | Action Verb (Present Participle), দালান বা নির্মাণ করছে এমন, বিল্ডিং
built, Action Verb (Past) | Adjective, নির্মিত, বিল্ট
burger, Noun, বার্গার, বার্গার
burn, Action Verb | Noun, পুড়িয়ে ফেলা, বার্ন
burnt, Adjective | Action Verb (Past), পোড়া, বার্ন্ট
bus, Noun, বাস, বাস
businessman, Noun, ব্যবসায়ী, বিজনেসম্যান
busy, Adjective, ব্যস্ত, বিজি
but, Conjunction, কিন্তু, বাট
buy, Action Verb, কেনা, বাই
buying, Action Verb (Present Participle), কিনছে এমন, বাইং
buzzing, Adjective | Action Verb (Present Participle), গুনগুন শব্দ করা, বাজিং
by, Preposition, দ্বারা বা পাশে, বাই
cadet, Noun, ক্যাডেট বা সামরিক ছাত্র, ক্যাডেট
cake, Noun, কেক বা পিঠা, কেক
call, Action Verb | Noun, ডাকা বা ডাক, কল
called, Action Verb (Past), ডেকেছিল, কলড
calling, Action Verb (Present Participle), ডাকছে এমন, কলিং
calls, Action Verb (Third Person), ডাকে, কলস
came, Action Verb (Past), এসেছিল, কেম
camera, Noun, ক্যামেরা, ক্যামেরা
campaign, Noun | Action Verb, প্রচার অভিযান, ক্যাম্পেইন
campus, Noun, ক্যাম্পাস বা প্রাঙ্গণ, ক্যাম্পাস
can, Helping Verb | Noun, পারা বা টিনের পাত্র, ক্যান
cane, Noun, বেত, কেইন
cap, Noun, টুপি, ক্যাপ
cape, Noun, অন্তরীপ, কেইপ
car, Noun, গাড়ি, কার
card, Noun, কার্ড বা তাসের পাতা, কার্ড
care, Noun | Action Verb, যত্ন বা যত্ন নেওয়া, কেয়ার
careful, Adjective, সতর্ক, কেয়ারফুল
carefully, Adverb, সতর্কতার সাথে, কেয়ারফুলি
cat, Noun, বিড়াল, ক্যাট
catch, Action Verb, ধরা, ক্যাচ
caught, Action Verb (Past), ধরেছিল, কট
cell, Noun, কোষ বা ঘর, সেল
central, Adjective, কেন্দ্রীয়, সেন্ট্রাল
certainly, Adverb, অবশ্যই, সারটেইনলি
certificate, Noun, প্রশংসাপত্র, সার্টিফিকেট
chair, Noun, চেয়ার, চেয়ার
champions, Noun (Plural), চ্যাম্পিয়ন বা বিজয়ীরা, চ্যাম্পিয়নস
chance, Noun, সুযোগ, চান্স
change, Action Verb | Noun, পরিবর্তন, চেইঞ্জ
changed, Action Verb (Past), পরিবর্তিত, চেইঞ্জড
changing, Action Verb (Present Participle), পরিবর্তন হচ্ছে এমন, চেইঞ্জিং
charge, Noun | Action Verb, দায়িত্ব বা চার্জ করা, চার্জ
chase, Action Verb, ধাওয়া করা, চেইজ
cheap, Adjective, সস্তা, চিপ
check, Action Verb | Noun, পরীক্ষা করা বা চেক, চেক
checked, Action Verb (Past), পরীক্ষা করা হয়েছিল এমন, চেকড
chicken, Noun, মুরগি, চিকেন
child, Noun, শিশু, চাইল্ড
children, Noun (Plural), শিশুরা, চিলড্রেন
chin, Noun, চিবুক, চিন
chip, Noun, চিপ বা টুকরো, চিপ
choose, Action Verb, পছন্দ করা বা বেছে নেওয়া, চুজ
choosing, Action Verb (Present Participle), বেছে নিচ্ছে এমন, চুজিং
chose, Action Verb (Past), বেছে নিয়েছিল, চোজ
chosen, Action Verb (Past Participle), মনোনীত, চোজেন
cinema, Noun, সিনেমা বা চলচ্চিত্র, সিনেমা
circle, Noun, বৃত্ত, সার্কেল
city, Noun, শহর, সিটি
class, Noun, শ্রেণী, ক্লাস
classes, Noun (Plural), শ্রেণীসমূহ, ক্লাসেস
clean, Adjective | Action Verb, পরিষ্কার, ক্লিন
cleaned, Action Verb (Past), পরিষ্কার করেছিল, ক্লিনড
cleaning, Action Verb (Present Participle), পরিষ্কার করছে এমন, ক্লিনিং
clear, Adjective | Action Verb, স্পষ্ট বা পরিষ্কার করা, ক্লিয়ার
clearly, Adverb, স্পষ্টভাবে, ক্লিয়ারলি
clerk, Noun, কেরানি বা অফিস সহকারী, ক্লার্ক
climb, Action Verb, আরোহণ করা, ক্লাইম্ব
clock, Noun, ঘড়ি, ক্লক
close, Action Verb | Adjective, বন্ধ করা বা নিকটবর্তী, ক্লোজ
closed, Action Verb (Past) | Adjective, বন্ধ, ক্লোজড
closes, Action Verb (Third Person), বন্ধ করে, ক্লোজেস
closing, Action Verb (Present Participle), সমাপ্তি বা বন্ধ করা, ক্লোজিং
cloth, Noun, কাপড়, ক্লথ
clothes, Noun (Plural), জামাকাপড়, ক্লোদস
cloud, Noun, মেঘ, ক্লাউড
coat, Noun, কোট বা আস্তরণ, কোট
coffee, Noun, কফি, কফি
cold, Adjective | Noun, ঠান্ডা, কোল্ড
collect, Action Verb, সংগ্রহ করা, কালেক্ট
college, Noun, কলেজ, কলেজ
color, Noun | Action Verb, রঙ, কালার
comb, Noun | Action Verb, চিরুনি বা আঁচড়ানো, কোম্ব
come, Action Verb, আসা, কাম
comes, Action Verb (Third Person), আসে, কামস
coming, Action Verb (Present Participle), আসছে এমন, কামিং
common, Adjective, সাধারণ, কমন
compare, Action Verb, তুলনা করা, কম্পেয়ার
complain, Action Verb, অভিযোগ করা, কমপ্লেইন
complete, Adjective | Action Verb, সম্পূর্ণ, কমপ্লিট
completed, Action Verb (Past), সম্পন্ন হয়েছিল, কমপ্লিটেড
completely, Adverb, সম্পূর্ণভাবে, কমপ্লিটলি
computer, Noun, কম্পিউটার, কম্পিউটার
condition, Noun, অবস্থা বা শর্ত, কন্ডিশন
congratulations, Noun | Interjection, অভিনন্দন, কনগ্র্যাচুলেশনস
connect, Action Verb, সংযোগ করা, কানেক্ট
continue, Action Verb, চালিয়ে যাওয়া, কন্টিনিউ
continuous, Adjective, নিরবচ্ছিন্ন, কন্টিনিউয়াস
control, Noun | Action Verb, নিয়ন্ত্রণ, কন্ট্রোল
conversation, Noun, কথোপকথন, কনভারসেশন
cook, Action Verb | Noun, রান্না করা বা বাবুর্চি, কুক
cooked, Action Verb (Past), রান্না করা হয়েছে এমন, কুকড
cooking, Action Verb (Present Participle), রান্না করছে এমন, কুকিং
cooks, Action Verb (Third Person), রান্না করে, কুকস
cool, Adjective | Action Verb, শীতল বা চমৎকার, কুল
copy, Noun | Action Verb, নকল বা অনুলিপি করা, কপি
correct, Adjective | Action Verb, সঠিক বা সংশোধন করা, কারেক্ট
cost, Noun | Action Verb, মূল্য বা খরচ হওয়া, কস্ট
could, Helping Verb, পারতেন বা পারত, কুড
couldn't, Helping Verb (Contraction), পারত না, কুডন্ট
count, Action Verb | Noun, গণনা করা, কাউন্ট
country, Noun, দেশ, কান্ট্রি
course, Noun, কোর্স বা পাঠ্যক্রম, কোর্স
cover, Action Verb | Noun, ঢাকা বা মলাট, কাভার
cow, Noun, গরু, কাউ
cricket, Noun, ক্রিকেট বা ঝিঁঝিঁ পোকা, ক্রিকেট
cross, Action Verb | Noun, পার হওয়া বা ক্রুশ, ক্রস
crowd, Noun, ভিড়, ক্রাউড
cry, Action Verb | Noun, কাঁদা বা চিৎকার, ক্রাই
crying, Action Verb (Present Participle), কাঁদছে এমন, ক্রাইং
cup, Noun, কাপ বা পেয়ালা, কাপ
cut, Action Verb | Noun, কাটা, কাট
cute, Adjective, কিউট বা সুন্দর, কিউট
daily, Adjective | Adverb, দৈনন্দিন, ডেইলি
dance, Action Verb | Noun, নাচ বা নাচা, ড্যান্স
dancing, Action Verb (Present Participle), নাচছে এমন, ড্যান্সিং
danger, Noun, বিপদ, ডেঞ্জার
dangerous, Adjective, বিপজ্জনক, ডেঞ্জারাস
dark, Adjective | Noun, অন্ধকার, ডার্ক
date, Noun, তারিখ বা খেজুর, ডেট
day, Noun, দিন, ডে
dead, Adjective, মৃত, ডেড
deal, Action Verb | Noun, চুক্তি বা মোকাবিলা করা, ডিল
dear, Adjective, প্রিয়, ডিয়ার
decide, Action Verb, সিদ্ধান্ত নেওয়া, ডিসাইড
deep, Adjective, গভীর, ডিপ
definitely, Adverb, নিশ্চিতভাবে, ডেফিনিটলি
degree, Noun, ডিগ্রি বা মাত্রা, ডিগ্রি
delay, Noun | Action Verb, বিলম্ব, ডিলে
delicious, Adjective, সুস্বাদু, ডিলিশিয়াস
dentist, Noun, দন্তচিকিৎসক, ডেন্টিস্ট
depend, Action Verb, নির্ভর করা, ডিপেন্ড
describe, Action Verb, বর্ণনা করা, ডেসক্রাইব
deserve, Action Verb, যোগ্য হওয়া, ডিজার্ভ
design, Noun | Action Verb, নকশা, ডিজাইন
desk, Noun, ডেস্ক বা লেখার টেবিল, ডেস্ক
detail, Noun, বিস্তারিত বিবরণ, ডিটেইল
did, Action Verb (Past) | Helping Verb, করেছিল, ডিড
didn't, Action Verb (Contraction), করেনি, ডিডন্ট
die, Action Verb, মারা যাওয়া, ডাই
died, Action Verb (Past), মারা গিয়েছিল, ডাইড
difference, Noun, পার্থক্য, ডিফারেন্স
different, Adjective, ভিন্ন, ডিফারেন্ট
difficult, Adjective, কঠিন, ডিফিকাল্ট
dig, Action Verb, খনন করা, ডিগ
dinner, Noun, রাতের খাবার, ডিনার
direction, Noun, দিক বা নির্দেশনা, ডিরেকশন
dirty, Adjective, নোংরা, ডার্টি
disappear, Action Verb, অদৃশ্য হওয়া, ডিসঅ্যাপিয়ার
discuss, Action Verb, আলোচনা করা, ডিসকাস
distance, Noun, দূরত্ব, ডিস্টেন্স
do, Action Verb | Helping Verb, করা, ডু
doctor, Noun, ডাক্তার, ডাক্তার
does, Action Verb | Helping Verb (Third Person), করে, ডাজ
doesn't, Action Verb (Contraction), করে না, ডাজন্ট
dog, Noun, কুকুর, ডগ
doing, Action Verb (Present Participle), করছে এমন, ডুইং
done, Action Verb (Past Participle), করা হয়েছে এমন, ডান
door, Noun, দরজা, ডোর
double, Adjective | Action Verb, দ্বিগুণ, ডাবল
doubt, Noun | Action Verb, সন্দেহ, ডাউট
down, Adverb | Preposition, নিচে, ডাউন
draw, Action Verb, আঁকা, ড্র
drawing, Action Verb (Present Participle) | Noun, আঁকছে এমন বা অঙ্কন, ড্রয়িং
dream, Noun | Action Verb, স্বপ্ন, ড্রিম
dress, Noun | Action Verb, পোশাক, ড্রেস
drew, Action Verb (Past), এঁকেছিল, ড্রু
drink, Action Verb | Noun, পান করা বা পানীয়, ড্রিংক
drinking, Action Verb (Present Participle), পান করছে এমন, ড্রিংকিং
drive, Action Verb | Noun, চালানো, ড্রাইভ
driver, Noun, চালক, ড্রাইভার
driving, Action Verb (Present Participle), চালাচ্ছে এমন, ড্রাইভিং
drop, Action Verb | Noun, ফেলে দেওয়া বা ফোঁটা, ড্রপ
drove, Action Verb (Past), চালিয়েছিল, ড্রোভ
dry, Adjective | Action Verb, শুকনো, ড্রাই
duck, Noun, হাঁস, ডাক
during, Preposition, সময়ে বা চলাকালে, ডিউরিং
each, Determiner | Pronoun, প্রতিটি, ইচ
ear, Noun, কান, ইয়ার
early, Adjective | Adverb, সকাল সকাল বা তাড়াতাড়ি, আর্লি
earn, Action Verb, আয় করা, আর্ন
ears, Noun (Plural), কানগুলো, ইয়ারস
earth, Noun, পৃথিবী, আর্থ
easily, Adverb, সহজে, ইজিলি
easy, Adjective, সহজ, ইজি
eat, Action Verb, খাওয়া, ইট
eaten, Action Verb (Past Participle), খেয়েছে এমন, ইটেন
eating, Action Verb (Present Participle), খাচ্ছে এমন, ইটিং
eats, Action Verb (Third Person), খায়, ইটস
education, Noun, শিক্ষা, এডুকেশন
egg, Noun, ডিম, এগ
eggs, Noun (Plural), ডিমগুলো, এগস
eight, Number, আট, এইট
either, Determiner | Pronoun | Conjunction, হয় এটি না হয় ওটি, আইদার
elder, Adjective | Noun, বয়োজ্যেষ্ঠ, এল্ডার
electric, Adjective, বৈদ্যুতিক, ইলেকট্রিক
elephant, Noun, হাতি, এলিফ্যান্ট
else, Adjective | Adverb, অন্য বা আর, এলস
empty, Adjective | Action Verb, খালি, এম্পটি
end, Noun | Action Verb, শেষ, এন্ড
engineer, Noun, প্রকৌশলী, ইঞ্জিনিয়ার
english, Noun | Adjective, ইংরেজি, ইংলিশ
enjoy, Action Verb, উপভোগ করা, এনজয়
enough, Adjective | Adverb | Pronoun, যথেষ্ট, এনাফ
enter, Action Verb, প্রবেশ করা, এন্টার
envelope, Noun, খাম, এনভেলাপ
environment, Noun, পরিবেশ, এনভায়রনমেন্ট
error, Noun, ভুল, এরর
escape, Action Verb | Noun, মুক্তি পাওয়া বা পালানো, এস্কেপ
especially, Adverb, বিশেষভাবে, স্পেশালি
even, Adjective | Adverb, এমনকি বা সমান, ইভেন
evening, Noun, সন্ধ্যা, ইভনিং
ever, Adverb, কখনো, এভার
every, Determiner, প্রত্যেক, এভরি
everyone, Pronoun, প্রত্যেকে, এভরিওয়ান
everything, Pronoun, সবকিছু, এভরিথিং
everywhere, Adverb, সবখানে, এভরিহোয়্যার
exact, Adjective, সঠিক বা হুবহু, এক্স্যাক্ট
exactly, Adverb, ঠিক তাই বা হুবহু, এক্স্যাক্টলি
exam, Noun, পরীক্ষা, এক্সাম
example, Noun, উদাহরণ, এক্সাম্পল
excellent, Adjective, চমৎকার, এক্সিলেন্ট
except, Preposition | Conjunction, ব্যতীত, এক্সেপ্ট
excited, Adjective, উত্তেজিত, এক্সাইটেড
excuse, Action Verb | Noun, ক্ষমা করা বা অজুহাত, এক্সকিউজ
exercise, Noun | Action Verb, ব্যায়াম, এক্সারসাইজ
expect, Action Verb, আশা করা, এক্সপেক্ট
expensive, Adjective, ব্যয়বহুল বা দামি, এক্সপেন্সিভ
experience, Noun | Action Verb, অভিজ্ঞতা, এক্সপেরিয়েন্স
explain, Action Verb, ব্যাখ্যা করা, এক্সপ্লেইন
extra, Adjective | Adverb | Noun, অতিরিক্ত, এক্সট্রা
eye, Noun, চোখ, আই
eyes, Noun (Plural), চোখগুলো, আইস
face, Noun | Action Verb, মুখমণ্ডল বা মোকাবিলা করা, ফেইস
fact, Noun, তথ্য বা সত্য ঘটনা, ফ্যাক্ট
factory, Noun, কারখানা, ফ্যাক্টরি
fail, Action Verb, ব্যর্থ হওয়া, ফেইল
fair, Adjective | Noun, ফর্সা বা মেলা, ফেয়ার
fall, Action Verb | Noun, পড়ে যাওয়া বা শরৎকাল, ফল
fallen, Action Verb (Past Participle) | Adjective, পতিত, ফলেন
falling, Action Verb (Present Participle), পড়ছে এমন, ফলিং
falls, Action Verb (Third Person) | Noun, পড়ে বা জলপ্রপাত, ফলস
family, Noun, পরিবার, ফ্যামিলি
famous, Adjective, বিখ্যাত, ফেমাস
fan, Noun | Action Verb, পাখা বা ভক্ত, ফ্যান
far, Adjective | Adverb, দূরে, ফার
farm, Noun | Action Verb, খামার, ফার্ম
farmer, Noun, কৃষক, ফার্মার
fast, Adjective | Adverb, দ্রুত, ফাস্ট
fat, Adjective | Noun, মোটা বা চর্বি, ফ্যাট
father, Noun, বাবা, ফাদার
favourite, Adjective | Noun, প্রিয়, ফেভারিট
fear, Noun | Action Verb, ভয়, ফিয়ার
feel, Action Verb | Noun, অনুভব করা, ফিল
feeling, Noun | Action Verb (Present Participle), অনুভূতি, ফিলিং
feet, Noun (Plural of foot), পায়ের পাতাগুলো, ফিট
fell, Action Verb (Past), পড়ে গিয়েছিল, ফেল
felt, Action Verb (Past), অনুভব করেছিল, ফেল্ট
few, Adjective | Pronoun, অল্প বা সামান্য, ফিউ
field, Noun, মাঠ, ফিল্ড
fight, Action Verb | Noun, যুদ্ধ বা লড়াই করা, ফাইট
fill, Action Verb, পূর্ণ করা, ফিল
final, Adjective | Noun, চূড়ান্ত, ফাইনাল
finally, Adverb, অবশেষে, ফাইনালি
find, Action Verb, খুঁজে পাওয়া, ফাইন্ড
finding, Action Verb (Present Participle) | Noun, খুঁজছে এমন বা প্রাপ্তি, ফাইন্ডিং
fine, Adjective | Noun | Action Verb, চমৎকার বা জরিমানা, ফাইন
finger, Noun, আঙুল, ফিঙ্গার
finish, Action Verb | Noun, শেষ করা, ফিনিশ
finished, Action Verb (Past) | Adjective, শেষ হয়েছে এমন, ফিনিশড
fire, Noun | Action Verb, আগুন বা বরখাস্ত করা, ফায়ার
first, Adjective | Adverb, প্রথম, ফার্স্ট
fish, Noun | Action Verb, মাছ, ফিশ
five, Number, পাঁচ, ফাইভ
fix, Action Verb | Noun, ঠিক করা, ফিক্স
flag, Noun, পতাকা, ফ্ল্যাগ
flat, Adjective | Noun, সমতল বা ফ্ল্যাট, ফ্ল্যাট
flew, Action Verb (Past), উড়েছিল, ফ্লু
flies, Action Verb (Third Person) | Noun (Plural), ওড়ে বা মাছিগুলো, ফ্লাইস
flight, Noun, বিমান ভ্রমণ, ফ্লাইট
floor, Noun, মেঝে, ফ্লোর
flower, Noun, ফুল, ফ্লাওয়ার
flowers, Noun (Plural), ফুলগুলো, ফ্লাওয়ারস
flown, Action Verb (Past Participle), উড়েছে এমন, ফ্লোন
fly, Action Verb | Noun, ওড়া বা মাছি, ফ্লাই
flying, Action Verb (Present Participle) | Adjective, উড়ছে এমন, ফ্লাইং
follow, Action Verb, অনুসরণ করা, ফলো
food, Noun, খাবার, ফুড
foot, Noun, পায়ের পাতা, ফুট
football, Noun, ফুটবল, ফুটবল
for, Preposition | Conjunction, জন্য, ফর
foreign, Adjective, বিদেশি, ফরেন
forest, Noun, বন বা অরণ্য, ফরেস্ট
forget, Action Verb, ভুলে যাওয়া, ফরগেট
forgetting, Action Verb (Present Participle), ভুলে যাচ্ছে এমন, ফরগেটিং
forgot, Action Verb (Past), ভুলে গিয়েছিল, ফরগট
forgotten, Action Verb (Past Participle) | Adjective, বিস্মৃত, ফরগটেন
form, Noun | Action Verb, গঠন বা ফর্ম, ফর্ম
found, Action Verb (Past), খুঁজে পেয়েছিল, ফাউন্ড
four, Number, চার, ফোর
free, Adjective | Adverb | Action Verb, মুক্ত বা বিনামূল্যে, ফ্রি
fresh, Adjective, তাজা, ফ্রেশ
friday, Noun, শুক্রবার, ফ্রাইডে
friend, Noun, বন্ধু, ফ্রেন্ড
friends, Noun (Plural), বন্ধুরা, ফ্রেন্ডস
from, Preposition, থেকে, ফ্রম
front, Noun | Adjective, সামনে, ফ্রন্ট
fruit, Noun, ফল, ফ্রুট
fruits, Noun (Plural), ফলমূল, ফ্রুটস
full, Adjective, পূর্ণ, ফুল
fun, Noun | Adjective, মজা, ফান
funny, Adjective, মজাদার, ফানি
future, Noun | Adjective, ভবিষ্যৎ, ফিউচার
game, Noun, খেলা, গেম
garden, Noun, বাগান, গার্ডেন
gate, Noun, গেট বা ফটক, গেট
gave, Action Verb (Past), দিয়েছিল, গেইভ
general, Adjective | Noun, সাধারণ, জেনারেল
generally, Adverb, সাধারণত, জেনারেলি
get, Action Verb, পাওয়া, গেট
gets, Action Verb (Third Person), পায়, গেটস
getting, Action Verb (Present Participle), পাচ্ছে এমন, গেটিং
gift, Noun | Action Verb, উপহার, গিফট
girl, Noun, বালিকা বা মেয়ে, গার্ল
girls, Noun (Plural), বালিকারা, গার্লস
give, Action Verb, দেওয়া, গিভ
given, Action Verb (Past Participle) | Adjective, দেওয়া হয়েছে এমন, গিভেন
gives, Action Verb (Third Person), দেয়, গিভস
giving, Action Verb (Present Participle), দিচ্ছে এমন, গিভিং
glad, Adjective, আনন্দিত, গ্ল্যাড
glass, Noun, গ্লাস বা কাঁচ, গ্লাস
go, Action Verb, যাওয়া, গো
goes, Action Verb (Third Person), যায়, গোজ
going, Action Verb (Present Participle), যাচ্ছে এমন, গোয়িং
gold, Noun | Adjective, সোনা বা সোনালি, গোল্ড
gone, Action Verb (Past Participle) | Adjective, চলে গেছে এমন, গান
good, Adjective | Noun, ভালো, গুড
goodbye, Interjection | Noun, বিদায়, গুডবাই
got, Action Verb (Past), পেয়েছিল, গট
gotten, Action Verb (Past Participle), পেয়েছে এমন, গটেন
government, Noun, সরকার, গভর্নমেন্ট
grade, Noun | Action Verb, শ্রেণী বা মান, গ্রেড
grandfather, Noun, দাদা বা নানা, গ্র্যান্ডফাদার
grandmother, Noun, দাদী বা নানী, গ্র্যান্ডমাদার
grass, Noun, ঘাস, গ্রাস
great, Adjective, মহান বা চমৎকার, গ্রেট
green, Adjective | Noun, সবুজ, গ্রিন
grew, Action Verb (Past), বেড়েছিল, গ্রু
ground, Noun | Action Verb (Past), ভূমি বা পিষে ফেলা, গ্রাউন্ড
group, Noun | Action Verb, দল বা গ্রুপ, গ্রুপ
grow, Action Verb, জন্মানো বা বেড়ে ওঠা, গ্রো
growing, Action Verb (Present Participle) | Adjective, বাড়ছে এমন, গ্রোয়িং
grown, Action Verb (Past Participle) | Adjective, বড় হয়েছে এমন, গ্রোন
grows, Action Verb (Third Person), জন্মায়, গ্রোস
guest, Noun, অতিথি, গেস্ট
guide, Noun | Action Verb, পথপ্রদর্শক বা গাইড করা, গাইড
habit, Noun, অভ্যাস, হ্যাবিট
had, Action Verb (Past) | Helping Verb, ছিল, হ্যাড
hair, Noun, চুল, হেয়ার
half, Noun | Adjective | Adverb, অর্ধেক, হাফ
hall, Noun, হল বা বড় কক্ষ, হল
