Weren't They playing?,তারা কি খেলছিল না?,ওয়ারন্ট দে প্লেয়িং
Weren't They paying?,তারা কি পরিশোধ করছিল না?,ওয়ারন্ট দে পেয়িং
Weren't They using?,তারা কি ব্যবহার করছিল না?,ওয়ারন্ট দে ইউজিং
Weren't They showing?,তারা কি দেখাচ্ছিল না?,ওয়ারন্ট দে শোইং
Weren't They telling?,তারা কি বলছিল না?,ওয়ারন্ট দে টেলিং
Weren't They leaving?,তারা কি ছেড়ে যাচ্ছিল না?,ওয়ারন্ট দে লিভিং
Weren't They bringing?,তারা কি আনছিল না?,ওয়ারন্ট দে ব্রিংইং
Weren't They keeping?,তারা কি রাখছিল না?,ওয়ারন্ট দে কিপিং
Weren't They putting?,তারা কি রাখছিল না?,ওয়ারন্ট দে পুটিং
Weren't They finding?,তারা কি খুঁজে পাচ্ছিল না?,ওয়ারন্ট দে ফাইন্ডিং
Weren't They forgetting?,তারা কি ভুলে যাচ্ছিল না?,ওয়ারন্ট দে ফরগেটিং
Weren't They remembering?,তারা কি মনে রাখছিল না?,ওয়ারন্ট দে রিমেম্বারিং
Weren't They needing?,আমার কি প্রয়োজন হচ্ছিল না?,ওয়ারন্ট দে নিডিং
Weren't They believing?,তারা কি বিশ্বাস করছিল না?,ওয়ারন্ট দে বিলিভিং
Weren't They agreeing?,তারা কি রাজি হচ্ছিল না?,ওয়ারন্ট দে অ্যাগ্রিইং
Weren't They answering?,তারা কি উত্তর দিচ্ছিল না?,ওয়ারন্ট দে আন্সারিং
Weren't They breaking?,তারা কি ভাঙছিল না?,ওয়ারন্ট দে ব্রেকিং
Weren't They building?,তারা কি নির্মাণ করছিল না?,ওয়ারন্ট দে বিল্ডিং
Weren't They choosing?,তারা কি পছন্দ করছিল না?,ওয়ারন্ট দে চুজিং
Weren't They cutting?,তারা কি কাটছিল না?,ওয়ারন্ট দে কাটিং
Weren't They deciding?,তারা কি সিদ্ধান্ত নিচ্ছিল না?,ওয়ারন্ট দে ডিসাইডিং
Weren't They explaining?,তারা কি ব্যাখ্যা করছিল না?,ওয়ারন্ট দে এক্সপ্লেইনিং
Weren't They falling?,তারা কি পড়ে যাচ্ছিল না?,ওয়ারন্ট দে ফলিং
Weren't They getting?,তারা কি পাচ্ছিল না?,ওয়ারন্ট দে গেটিং
Weren't They growing?,তারা কি বড় হচ্ছিল না?,ওয়ারন্ট দে গ্রোইং
Weren't They hoping?,তারা কি আশা করছিল না?,ওয়ারন্ট দে হোপিং
Weren't They joining?,তারা কি যোগ দিচ্ছিল না?,ওয়ারন্ট দে জয়েনিং
Weren't They meeting?,তারা কি সাক্ষাৎ করছিল না?,ওয়ারন্ট দে মিটিং
Weren't They sending?,তারা কি পাঠাচ্ছিল না?,ওয়ারন্ট দে সেন্ডিং
Weren't They spending?,তারা কি ব্যয় করছিল না?,ওয়ারন্ট দে স্পেন্ডিং
Weren't They teaching?,তারা কি শেখাচ্ছিল না?,ওয়ারন্ট দে টিচিং
Weren't They winning?,তারা কি জয়ী হচ্ছিল না?,ওয়ারন্ট দে উইনিং
