They weren't playing,তারা খেলছিল না,দে ওয়ারন্ট প্লেয়িং
They weren't remembering,তারা মনে রাখছিল না,দে ওয়ারন্ট রিমেম্বারিং
They weren't needing,আমার প্রয়োজন হচ্ছিল না,দে ওয়ারন্ট নিডিং
They weren't believing,তারা বিশ্বাস করছিল না,দে ওয়ারন্ট বিলিভিং
They weren't agreeing,তারা রাজি হচ্ছিল না,দে ওয়ারন্ট অ্যাগ্রিইং
They weren't answering,তারা উত্তর দিচ্ছিল না,দে ওয়ারন্ট আন্সারিং
They weren't breaking,তারা ভাঙছিল না,দে ওয়ারন্ট ব্রেকিং
They weren't building,তারা নির্মাণ করছিল না,দে ওয়ারন্ট বিল্ডিং
They weren't choosing,তারা পছন্দ করছিল না,দে ওয়ারন্ট চুজিং
They weren't cutting,তারা কাটছিল না,দে ওয়ারন্ট কাটিং
They weren't deciding,তারা সিদ্ধান্ত নিচ্ছিল না,দে ওয়ারন্ট ডিসাইডিং
They weren't explaining,তারা ব্যাখ্যা করছিল না,দে ওয়ারন্ট এক্সপ্লেইনিং
They weren't falling,তারা পড়ে যাচ্ছিল না,দে ওয়ারন্ট ফলিং
They weren't getting,তারা পাচ্ছিল না,দে ওয়ারন্ট গেটিং
They weren't growing,তারা বড় হচ্ছিল না,দে ওয়ারন্ট গ্রোইং
They weren't hoping,তারা আশা করছিল না,দে ওয়ারন্ট হোপিং
They weren't joining,তারা যোগ দিচ্ছিল না,দে ওয়ারন্ট জয়েনিং
They weren't meeting,তারা সাক্ষাৎ করছিল না,দে ওয়ারন্ট মিটিং
They weren't sending,তারা পাঠাচ্ছিল না,দে ওয়ারন্ট সেন্ডিং
They weren't spending,তারা ব্যয় করছিল না,দে ওয়ারন্ট স্পেন্ডিং
They weren't teaching,তারা শেখাচ্ছিল না,দে ওয়ারন্ট টিচিং
They weren't winning,তারা জয়ী হচ্ছিল না,দে ওয়ারন্ট উইনিং
