Were They playing?,তারা কি খেলছিল?,ওয়ার দে প্লেয়িং
Were They bringing?,তারা কি আনছিল?,ওয়ার দে ব্রিংইং
Were They keeping?,তারা কি রাখছিল?,ওয়ার দে কিপিং
Were They putting?,তারা কি রাখছিল?,ওয়ার দে পুটিং
Were They finding?,তারা কি খুঁজে পাচ্ছিল?,ওয়ার দে ফাইন্ডিং
Were They forgetting?,তারা কি ভুলে যাচ্ছিল?,ওয়ার দে ফরগেটিং
Were They remembering?,তারা কি মনে রাখছিল?,ওয়ার দে রিমেম্বারিং
Were They needing?,আমার কি প্রয়োজন হচ্ছিল?,ওয়ার দে নিডিং
Were They believing?,তারা কি বিশ্বাস করছিল?,ওয়ার দে বিলিভিং
Were They agreeing?,তারা কি রাজি হচ্ছিল?,ওয়ার দে অ্যাগ্রিইং
Were They answering?,তারা কি উত্তর দিচ্ছিল?,ওয়ার দে আন্সারিং
Were They breaking?,তারা কি ভাঙছিল?,ওয়ার দে ব্রেকিং
Were They building?,তারা কি নির্মাণ করছিল?,ওয়ার দে বিল্ডিং
Were They choosing?,তারা কি পছন্দ করছিল?,ওয়ার দে চুজিং
Were They cutting?,তারা কি কাটছিল?,ওয়ার দে কাটিং
Were They deciding?,তারা কি সিদ্ধান্ত নিচ্ছিল?,ওয়ার দে ডিসাইডিং
Were They explaining?,তারা কি ব্যাখ্যা করছিল?,ওয়ার দে এক্সপ্লেইনিং
Were They falling?,তারা কি পড়ে যাচ্ছিল?,ওয়ার দে ফলিং
Were They getting?,তারা কি পাচ্ছিল?,ওয়ার দে গেটিং
Were They growing?,তারা কি বড় হচ্ছিল?,ওয়ার দে গ্রোইং
Were They hoping?,তারা কি আশা করছিল?,ওয়ার দে হোপিং
Were They joining?,তারা কি যোগ দিচ্ছিল?,ওয়ার দে জয়েনিং
Were They meeting?,তারা কি সাক্ষাৎ করছিল?,ওয়ার দে মিটিং
Were They sending?,তারা কি পাঠাচ্ছিল?,ওয়ার দে সেন্ডিং
Were They spending?,তারা কি ব্যয় করছিল?,ওয়ার দে স্পেন্ডিং
Were They teaching?,তারা কি শেখাচ্ছিল?,ওয়ার দে টিচিং
Were They winning?,তারা কি জয়ী হচ্ছিল?,ওয়ার দে উইনিং
