Don't you play?,তুমি কি খেলো না?,ডোন্ট ইউ প্লে
Don't you remember?,তুমি কি মনে রাখো না?,ডোন্ট ইউ রিমেম্বার
Don't you need?,তোমার কি প্রয়োজন নেই?,ডোন্ট ইউ নিড
Don't you believe?,তুমি কি বিশ্বাস করো না?,ডোন্ট ইউ বিলিভ
Don't you agree?,তুমি কি রাজি নও?,ডোন্ট ইউ অ্যাগ্রি
Don't you answer?,তুমি কি উত্তর দাও না?,ডোন্ট ইউ আন্সার
Don't you break?,তুমি কি ভাঙো না?,ডোন্ট ইউ ব্রেক
Don't you build?,তুমি কি নির্মাণ করো না?,ডোন্ট ইউ বিল্ড
Don't you choose?,তুমি কি পছন্দ করো না?,ডোন্ট ইউ চুজ
Don't you cut?,তুমি কি কাটো না?,ডোন্ট ইউ কাট
Don't you decide?,তুমি কি সিদ্ধান্ত নাও না?,ডোন্ট ইউ ডিসাইড
Don't you explain?,তুমি কি ব্যাখ্যা করো না?,ডোন্ট ইউ এক্সপ্লেইন
Don't you fall?,তুমি কি পড়ে যাও না?,ডোন্ট ইউ ফল
Don't you get?,তুমি কি পাও না?,ডোন্ট ইউ গেট
Don't you grow?,তুমি কি বড় হও না?,ডোন্ট ইউ গ্রো
Don't you hope?,তুমি কি আশা করো না?,ডোন্ট ইউ হোপ
Don't you join?,তুমি কি যোগ দাও না?,ডোন্ট ইউ জয়েন
Don't you meet?,তুমি কি সাক্ষাৎ করো না?,ডোন্ট ইউ মিট
Don't you send?,তুমি কি পাঠাও না?,ডোন্ট ইউ সেন্ড
Don't you spend?,তুমি কি ব্যয় করো না?,ডোন্ট ইউ স্পেন্ড
Don't you teach?,তুমি কি শেখাও না?,ডোন্ট ইউ টিচ
Don't you win?,তুমি কি জয়ী হও না?,ডোন্ট ইউ উইন
