She wasn't playing,সে খেলছিল না,শি ওয়াজন্ট প্লেয়িং
She wasn't agreeing,সে রাজি হচ্ছিল না,শি ওয়াজন্ট অ্যাগ্রিইং
She wasn't answering,সে উত্তর দিচ্ছিল না,শি ওয়াজন্ট আন্সারিং
She wasn't breaking,সে ভাঙছিল না,শি ওয়াজন্ট ব্রেকিং
She wasn't building,সে নির্মাণ করছিল না,শি ওয়াজন্ট বিল্ডিং
She wasn't choosing,সে পছন্দ করছিল না,শি ওয়াজন্ট চুজিং
She wasn't cutting,সে কাটছিল না,শি ওয়াজন্ট কাটিং
She wasn't deciding,সে সিদ্ধান্ত নিচ্ছিল না,শি ওয়াজন্ট ডিসাইডিং
She wasn't explaining,সে ব্যাখ্যা করছিল না,শি ওয়াজন্ট এক্সপ্লেইনিং
She wasn't falling,সে পড়ে যাচ্ছিল না,শি ওয়াজন্ট ফলিং
She wasn't getting,সে পাচ্ছিল না,শি ওয়াজন্ট গেটিং
She wasn't growing,সে বড় হচ্ছিল না,শি ওয়াজন্ট গ্রোইং
She wasn't hoping,সে আশা করছিল না,শি ওয়াজন্ট হোপিং
She wasn't joining,সে যোগ দিচ্ছিল না,শি ওয়াজন্ট জয়েনিং
She wasn't meeting,সে সাক্ষাৎ করছিল না,শি ওয়াজন্ট মিটিং
She wasn't sending,সে পাঠাচ্ছিল না,শি ওয়াজন্ট সেন্ডিং
She wasn't spending,সে ব্যয় করছিল না,শি ওয়াজন্ট স্পেন্ডিং
She wasn't teaching,সে শেখাচ্ছিল না,শি ওয়াজন্ট টিচিং
She wasn't winning,সে জয়ী হচ্ছিল না,শি ওয়াজন্ট উইনিং
