Will They be playing?,তারা কি খেলতে থাকবে?,উইল দে বি প্লেয়িং
Will They be leaving?,তারা কি ছেড়ে যাইতে থাকবে?,উইল দে বি লিভিং
Will They be bringing?,তারা কি আনতে থাকবে?,উইল দে বি ব্রিংইং
Will They be keeping?,তারা কি রাখতে থাকবে?,উইল দে বি কিপিং
Will They be putting?,তারা কি রাখতে থাকবে?,উইল দে বি পুটিং
Will They be finding?,তারা কি খুঁজে পাইতে থাকবে?,উইল দে বি ফাইন্ডিং
Will They be forgetting?,তারা কি ভুলে যাইতে থাকবে?,উইল দে বি ফরগেটিং
Will They be remembering?,তারা কি মনে রাখতে থাকবে?,উইল দে বি রিমেম্বারিং
Will They be needing?,তারা কি প্রয়োজনতে থাকবে?,উইল দে বি নিডিং
Will They be believing?,তারা কি বিশ্বাস করতে থাকবে?,উইল দে বি বিলিভিং
Will They be agreeing?,তারা কি রাজতে থাকবে?,উইল দে বি অ্যাগ্রিইং
Will They be answering?,তারা কি উত্তর দেইতে থাকবে?,উইল দে বি আন্সারিং
Will They be breaking?,তারা কি ভাঙতে থাকবে?,উইল দে বি ব্রেকিং
Will They be building?,তারা কি নির্মাণ করতে থাকবে?,উইল দে বি বিল্ডিং
Will They be choosing?,তারা কি পছন্দ করতে থাকবে?,উইল দে বি চুজিং
Will They be cutting?,তারা কি কাটতে থাকবে?,উইল দে বি কাটিং
Will They be deciding?,তারা কি সিদ্ধান্ত নিইতে থাকবে?,উইল দে বি ডিসাইডিং
Will They be explaining?,তারা কি ব্যাখ্যা করতে থাকবে?,উইল দে বি এক্সপ্লেইনিং
Will They be falling?,তারা কি পড়ে যাইতে থাকবে?,উইল দে বি ফলিং
Will They be getting?,তারা কি পাইতে থাকবে?,উইল দে বি গেটিং
Will They be growing?,তারা কি বড় হইতে থাকবে?,উইল দে বি গ্রোইং
Will They be hoping?,তারা কি আশা করতে থাকবে?,উইল দে বি হোপিং
Will They be joining?,তারা কি যোগ দিইতে থাকবে?,উইল দে বি জয়েনিং
Will They be meeting?,তারা কি সাক্ষাৎ করতে থাকবে?,উইল দে বি মিটিং
Will They be sending?,তারা কি পাঠাইতে থাকবে?,উইল দে বি সেন্ডিং
Will They be spending?,তারা কি ব্যয় করতে থাকবে?,উইল দে বি স্পেন্ডিং
Will They be teaching?,তারা কি শেখাইতে থাকবে?,উইল দে বি টিচিং
Will They be winning?,তারা কি জয়ী হইতে থাকবে?,উইল দে বি উইনিং
