Isn't He playing?,সে কি খেলছে না?,ইজন্ট হি প্লেয়িং
Isn't He making?,সে কি তৈরি করছে না?,ইজন্ট হি মেকিং
Isn't He cleaning?,সে কি পরিষ্কার করছে না?,ইজন্ট হি ক্লিনিং
Isn't He dancing?,সে কি নাচছে না?,ইজন্ট হি ড্যান্সিং
Isn't He stopping?,সে কি থামছে না?,ইজন্ট হি স্টপিং
Isn't He starting?,সে কি শুরু করছে না?,ইজন্ট হি স্টার্টিং
Isn't He finishing?,সে কি শেষ করছে না?,ইজন্ট হি ফিনিশিং
Isn't He changing?,সে কি পরিবর্তন করছে না?,ইজন্ট হি চেঞ্জিং
Isn't He paying?,সে কি পরিশোধ করছে না?,ইজন্ট হি পেয়িং
Isn't He using?,সে কি ব্যবহার করছে না?,ইজন্ট হি ইউজিং
Isn't He showing?,সে কি দেখাচ্ছে না?,ইজন্ট হি শোইং
Isn't He telling?,সে কি বলছে না?,ইজন্ট হি টেলিং
Isn't He leaving?,সে কি ছেড়ে যাচ্ছে না?,ইজন্ট হি লিভিং
Isn't He bringing?,সে কি আনছে না?,ইজন্ট হি ব্রিংইং
Isn't He keeping?,সে কি রাখছে না?,ইজন্ট হি কিপিং
Isn't He putting?,সে কি রাখছে না?,ইজন্ট হি পুটিং
Isn't He finding?,সে কি খুঁজে পাচ্ছে না?,ইজন্ট হি ফাইন্ডিং
Isn't He forgetting?,সে কি ভুলে যাচ্ছে না?,ইজন্ট হি ফরগেটিং
Isn't He remembering?,সে কি মনে রাখছে না?,ইজন্ট হি রিমেম্বারিং
Isn't He needing?,আমার কি প্রয়োজন হচ্ছে না?,ইজন্ট হি নিডিং
Isn't He believing?,সে কি বিশ্বাস করছে না?,ইজন্ট হি বিলিভিং
Isn't He agreeing?,সে কি রাজি হচ্ছে না?,ইজন্ট হি অ্যাগ্রিইং
Isn't He answering?,সে কি উত্তর দিচ্ছে না?,ইজন্ট হি আন্সারিং
Isn't He breaking?,সে কি ভাঙছে না?,ইজন্ট হি ব্রেকিং
Isn't He building?,সে কি নির্মাণ করছে না?,ইজন্ট হি বিল্ডিং
Isn't He choosing?,সে কি পছন্দ করছে না?,ইজন্ট হি চুজিং
Isn't He cutting?,সে কি কাটছে না?,ইজন্ট হি কাটিং
Isn't He deciding?,সে কি সিদ্ধান্ত নিচ্ছে না?,ইজন্ট হি ডিসাইডিং
Isn't He explaining?,সে কি ব্যাখ্যা করছে না?,ইজন্ট হি এক্সপ্লেইনিং
Isn't He falling?,সে কি পড়ে যাচ্ছে না?,ইজন্ট হি ফলিং
Isn't He getting?,সে কি পাচ্ছে না?,ইজন্ট হি গেটিং
Isn't He growing?,সে কি বড় হচ্ছে না?,ইজন্ট হি গ্রোইং
Isn't He hoping?,সে কি আশা করছে না?,ইজন্ট হি হোপিং
Isn't He joining?,সে কি যোগ দিচ্ছে না?,ইজন্ট হি জয়েনিং
Isn't He meeting?,সে কি সাক্ষাৎ করছে না?,ইজন্ট হি মিটিং
Isn't He sending?,সে কি পাঠাচ্ছে না?,ইজন্ট হি সেন্ডিং
Isn't He spending?,সে কি ব্যয় করছে না?,ইজন্ট হি স্পেন্ডিং
Isn't He teaching?,সে কি শেখাচ্ছে না?,ইজন্ট হি টিচিং
Isn't He winning?,সে কি জয়ী হচ্ছে না?,ইজন্ট হি উইনিং
