Aren't I playing?,আমি কি খেলছি না?,আরন্ট আই প্লেয়িং
Aren't I changing?,আমি কি পরিবর্তন করছি না?,আরন্ট আই চেঞ্জিং
Aren't I paying?,আমি কি পরিশোধ করছি না?,আরন্ট আই পেয়িং
Aren't I using?,আমি কি ব্যবহার করছি না?,আরন্ট আই ইউজিং
Aren't I showing?,আমি কি দেখাচ্ছি না?,আরন্ট আই শোইং
Aren't I telling?,আমি কি বলছি না?,আরন্ট আই টেলিং
Aren't I leaving?,আমি কি ছেড়ে যাচ্ছি না?,আরন্ট আই লিভিং
Aren't I bringing?,আমি কি আনছি না?,আরন্ট আই ব্রিংইং
Aren't I keeping?,আমি কি রাখছি না?,আরন্ট আই কিপিং
Aren't I putting?,আমি কি রাখছি না?,আরন্ট আই পুটিং
Aren't I finding?,আমি কি খুঁজে পাচ্ছি না?,আরন্ট আই ফাইন্ডিং
Aren't I forgetting?,আমি কি ভুলে যাচ্ছি না?,আরন্ট আই ফরগেটিং
Aren't I remembering?,আমি কি মনে রাখছি না?,আরন্ট আই রিমেম্বারিং
Aren't I needing?,আমার কি প্রয়োজন হচ্ছে না?,আরন্ট আই নিডিং
Aren't I believing?,আমি কি বিশ্বাস করছি না?,আরন্ট আই বিলিভিং
Aren't I agreeing?,আমি কি রাজি হচ্ছি না?,আরন্ট আই অ্যাগ্রিইং
Aren't I answering?,আমি কি উত্তর দিচ্ছি না?,আরন্ট আই আন্সারিং
Aren't I breaking?,আমি কি ভাঙছি না?,আরন্ট আই ব্রেকিং
Aren't I building?,আমি কি নির্মাণ করছি না?,আরন্ট আই বিল্ডিং
Aren't I choosing?,আমি কি পছন্দ করছি না?,আরন্ট আই চুজিং
Aren't I cutting?,আমি কি কাটছি না?,আরন্ট আই কাটিং
Aren't I deciding?,আমি কি সিদ্ধান্ত নিচ্ছি না?,আরন্ট আই ডিসাইডিং
Aren't I explaining?,আমি কি ব্যাখ্যা করছি না?,আরন্ট আই এক্সপ্লেইনিং
Aren't I falling?,আমি কি পড়ে যাচ্ছি না?,আরন্ট আই ফলিং
Aren't I getting?,আমি কি পাচ্ছি না?,আরন্ট আই গেটিং
Aren't I growing?,আমি কি বড় হচ্ছি না?,আরন্ট আই গ্রোইং
Aren't I hoping?,আমি কি আশা করছি না?,আরন্ট আই হোপিং
Aren't I joining?,আমি কি যোগ দিচ্ছি না?,আরন্ট আই জয়েনিং
Aren't I meeting?,আমি কি সাক্ষাৎ করছি না?,আরন্ট আই মিটিং
Aren't I sending?,আমি কি পাঠাচ্ছি না?,আরন্ট আই সেন্ডিং
Aren't I spending?,আমি কি ব্যয় করছি না?,আরন্ট আই স্পেন্ডিং
Aren't I teaching?,আমি কি শেখাচ্ছি না?,আরন্ট আই টিচিং
Aren't I winning?,আমি কি জয়ী হচ্ছি না?,আরন্ট আই উইনিং
