We aren't playing,আমরা খেলছি না,উই আরন্ট প্লেয়িং
We aren't deciding,আমরা সিদ্ধান্ত নিচ্ছি না,উই আরন্ট ডিসাইডিং
We aren't explaining,আমরা ব্যাখ্যা করছি না,উই আরন্ট এক্সপ্লেইনিং
We aren't falling,আমরা পড়ে যাচ্ছি না,উই আরন্ট ফলিং
We aren't getting,আমরা পাচ্ছি না,উই আরন্ট গেটিং
We aren't growing,আমরা বড় হচ্ছি না,উই আরন্ট গ্রোইং
We aren't hoping,আমরা আশা করছি না,উই আরন্ট হোপিং
We aren't joining,আমরা যোগ দিচ্ছি না,উই আরন্ট জয়েনিং
We aren't meeting,আমরা সাক্ষাৎ করছি না,উই আরন্ট মিটিং
We aren't sending,আমরা পাঠাচ্ছি না,উই আরন্ট সেন্ডিং
We aren't spending,আমরা ব্যয় করছি না,উই আরন্ট স্পেন্ডিং
We aren't teaching,আমরা শেখাচ্ছি না,উই আরন্ট টিচিং
We aren't winning,আমরা জয়ী হচ্ছি না,উই আরন্ট উইনিং
