They were playing,তারা খেলছিল,দে ওয়ার প্লেয়িং
They were agreeing,তারা রাজি হচ্ছিল,দে ওয়ার অ্যাগ্রিইং
They were answering,তারা উত্তর দিচ্ছিল,দে ওয়ার আন্সারিং
They were breaking,তারা ভাঙছিল,দে ওয়ার ব্রেকিং
They were building,তারা নির্মাণ করছিল,দে ওয়ার বিল্ডিং
They were choosing,তারা পছন্দ করছিল,দে ওয়ার চুজিং
They were cutting,তারা কাটছিল,দে ওয়ার কাটিং
They were deciding,তারা সিদ্ধান্ত নিচ্ছিল,দে ওয়ার ডিসাইডিং
They were explaining,তারা ব্যাখ্যা করছিল,দে ওয়ার এক্সপ্লেইনিং
They were falling,তারা পড়ে যাচ্ছিল,দে ওয়ার ফলিং
They were getting,তারা পাচ্ছিল,দে ওয়ার গেটিং
They were growing,তারা বড় হচ্ছিল,দে ওয়ার গ্রোইং
They were hoping,তারা আশা করছিল,দে ওয়ার হোপিং
They were joining,তারা যোগ দিচ্ছিল,দে ওয়ার জয়েনিং
They were meeting,তারা সাক্ষাৎ করছিল,দে ওয়ার মিটিং
They were sending,তারা পাঠাচ্ছিল,দে ওয়ার সেন্ডিং
They were spending,তারা ব্যয় করছিল,দে ওয়ার স্পেন্ডিং
They were teaching,তারা শেখাচ্ছিল,দে ওয়ার টিচিং
They were winning,তারা জয়ী হচ্ছিল,দে ওয়ার উইনিং
