He will be playing,সে খেলতে থাকবে,হি উইল বি প্লেয়িং
He will be believing,সে বিশ্বাস করতে থাকবে,হি উইল বি বিলিভিং
He will be agreeing,সে রাজতে থাকবে,হি উইল বি অ্যাগ্রিইং
He will be answering,সে উত্তর দেইতে থাকবে,হি উইল বি আন্সারিং
He will be breaking,সে ভাঙতে থাকবে,হি উইল বি ব্রেকিং
He will be building,সে নির্মাণ করতে থাকবে,হি উইল বি বিল্ডিং
He will be choosing,সে পছন্দ করতে থাকবে,হি উইল বি চুজিং
He will be cutting,সে কাটতে থাকবে,হি উইল বি কাটিং
He will be deciding,সে সিদ্ধান্ত নিইতে থাকবে,হি উইল বি ডিসাইডিং
He will be explaining,সে ব্যাখ্যা করতে থাকবে,হি উইল বি এক্সপ্লেইনিং
He will be falling,সে পড়ে যাইতে থাকবে,হি উইল বি ফলিং
He will be getting,সে পাইতে থাকবে,হি উইল বি গেটিং
He will be growing,সে বড় হইতে থাকবে,হি উইল বি গ্রোইং
He will be hoping,সে আশা করতে থাকবে,হি উইল বি হোপিং
He will be joining,সে যোগ দিইতে থাকবে,হি উইল বি জয়েনিং
He will be meeting,সে সাক্ষাৎ করতে থাকবে,হি উইল বি মিটিং
He will be sending,সে পাঠাইতে থাকবে,হি উইল বি সেন্ডিং
He will be spending,সে ব্যয় করতে থাকবে,হি উইল বি স্পেন্ডিং
He will be teaching,সে শেখাইতে থাকবে,হি উইল বি টিচিং
He will be winning,সে জয়ী হইতে থাকবে,হি উইল বি উইনিং
