You were playing,তুমি খেলছিলে,ইউ ওয়ার প্লেয়িং
You were explaining,তুমি ব্যাখ্যা করছিলে,ইউ ওয়ার এক্সপ্লেইনিং
You were falling,তুমি পড়ে যাচ্ছিলে,ইউ ওয়ার ফলিং
You were getting,তুমি পাচ্ছিলে,ইউ ওয়ার গেটিং
You were growing,তুমি বড় হচ্ছিলে,ইউ ওয়ার গ্রোইং
You were hoping,তুমি আশা করছিলে,ইউ ওয়ার হোপিং
You were joining,তুমি যোগ দিচ্ছিলে,ইউ ওয়ার জয়েনিং
You were meeting,তুমি সাক্ষাৎ করছিলে,ইউ ওয়ার মিটিং
You were sending,তুমি পাঠাচ্ছিলে,ইউ ওয়ার সেন্ডিং
You were spending,তুমি ব্যয় করছিলে,ইউ ওয়ার স্পেন্ডিং
You were teaching,তুমি শেখাচ্ছিলে,ইউ ওয়ার টিচিং
You were winning,তুমি জয়ী হচ্ছিলে,ইউ ওয়ার উইনিং
