She was playing,সে খেলছিল,শি ওয়াজ প্লেয়িং
She was deciding,সে সিদ্ধান্ত নিচ্ছিল,শি ওয়াজ ডিসাইডিং
She was explaining,সে ব্যাখ্যা করছিল,শি ওয়াজ এক্সপ্লেইনিং
She was falling,সে পড়ে যাচ্ছিল,শি ওয়াজ ফলিং
She was getting,সে পাচ্ছিল,শি ওয়াজ গেটিং
She was growing,সে বড় হচ্ছিল,শি ওয়াজ গ্রোইং
She was hoping,সে আশা করছিল,শি ওয়াজ হোপিং
She was joining,সে যোগ দিচ্ছিল,শি ওয়াজ জয়েনিং
She was meeting,সে সাক্ষাৎ করছিল,শি ওয়াজ মিটিং
She was sending,সে পাঠাচ্ছিল,শি ওয়াজ সেন্ডিং
She was spending,সে ব্যয় করছিল,শি ওয়াজ স্পেন্ডিং
She was teaching,সে শেখাচ্ছিল,শি ওয়াজ টিচিং
She was winning,সে জয়ী হচ্ছিল,শি ওয়াজ উইনিং
