Will You be playing?,তুমি কি খেলতে থাকবে?,উইল ইউ বি প্লেয়িং
Will You be giving?,তুমি কি দিইতে থাকবে?,উইল ইউ বি গিভিং
Will You be seeing?,তুমি কি দেখতে থাকবে?,উইল ইউ বি সিইং
Will You be hearing?,তুমি কি শুনতে থাকবে?,উইল ইউ বি হিয়ারিং
Will You be feeling?,তুমি কি অনুভব করতে থাকবে?,উইল ইউ বি ফিলিং
Will You be understanding?,তুমি কি বুঝতে থাকবে?,উইল ইউ বি আন্ডারস্ট্যান্ডিং
Will You be singing?,তুমি কি গান করতে থাকবে?,উইল ইউ বি সিংইং
Will You be swimming?,তুমি কি সাঁতার কাটতে থাকবে?,উইল ইউ বি সুইমিং
Will You be driving?,তুমি কি গাড়ি চালাইতে থাকবে?,উইল ইউ বি ড্রাইভিং
Will You be studying?,তুমি কি পড়াশোনা করতে থাকবে?,উইল ইউ বি স্টাডিইং
Will You be washing?,তুমি কি ধুইতে থাকবে?,উইল ইউ বি ওয়াশিং
Will You be watching?,তুমি কি দেখতে থাকবে?,উইল ইউ বি ওয়াচিং
Will You be buying?,তুমি কি কিনতে থাকবে?,উইল ইউ বি বাইইং
Will You be selling?,তুমি কি বিক্রি করতে থাকবে?,উইল ইউ বি সেলিং
Will You be making?,তুমি কি তৈরি করতে থাকবে?,উইল ইউ বি মেকিং
Will You be cleaning?,তুমি কি পরিষ্কার করতে থাকবে?,উইল ইউ বি ক্লিনিং
Will You be dancing?,তুমি কি নাচতে থাকবে?,উইল ইউ বি ড্যান্সিং
Will You be stopping?,তুমি কি থামতে থাকবে?,উইল ইউ বি স্টপিং
Will You be starting?,তুমি কি শুরু করতে থাকবে?,উইল ইউ বি স্টার্টিং
Will You be finishing?,তুমি কি শেষ করতে থাকবে?,উইল ইউ বি ফিনিশিং
Will You be changing?,তুমি কি পরিবর্তন করতে থাকবে?,উইল ইউ বি চেঞ্জিং
Will You be paying?,তুমি কি পরিশোধ করতে থাকবে?,উইল ইউ বি পেয়িং
Will You be using?,তুমি কি ব্যবহার করতে থাকবে?,উইল ইউ বি ইউজিং
Will You be showing?,তুমি কি দেখাইতে থাকবে?,উইল ইউ বি শোইং
Will You be telling?,তুমি কি বলতে থাকবে?,উইল ইউ বি টেলিং
Will You be leaving?,তুমি কি ছেড়ে যাইতে থাকবে?,উইল ইউ বি লিভিং
Will You be bringing?,তুমি কি আনতে থাকবে?,উইল ইউ বি ব্রিংইং
Will You be keeping?,তুমি কি রাখতে থাকবে?,উইল ইউ বি কিপিং
Will You be putting?,তুমি কি রাখতে থাকবে?,উইল ইউ বি পুটিং
Will You be finding?,তুমি কি খুঁজে পাইতে থাকবে?,উইল ইউ বি ফাইন্ডিং
Will You be forgetting?,তুমি কি ভুলে যাইতে থাকবে?,উইল ইউ বি ফরগেটিং
Will You be remembering?,তুমি কি মনে রাখতে থাকবে?,উইল ইউ বি রিমেম্বারিং
Will You be needing?,তুমি কি প্রয়োজনতে থাকবে?,উইল ইউ বি নিডিং
Will You be believing?,তুমি কি বিশ্বাস করতে থাকবে?,উইল ইউ বি বিলিভিং
Will You be agreeing?,তুমি কি রাজতে থাকবে?,উইল ইউ বি অ্যাগ্রিইং
Will You be answering?,তুমি কি উত্তর দেইতে থাকবে?,উইল ইউ বি আন্সারিং
Will You be breaking?,তুমি কি ভাঙতে থাকবে?,উইল ইউ বি ব্রেকিং
Will You be building?,তুমি কি নির্মাণ করতে থাকবে?,উইল ইউ বি বিল্ডিং
Will You be choosing?,তুমি কি পছন্দ করতে থাকবে?,উইল ইউ বি চুজিং
Will You be cutting?,তুমি কি কাটতে থাকবে?,উইল ইউ বি কাটিং
Will You be deciding?,তুমি কি সিদ্ধান্ত নিইতে থাকবে?,উইল ইউ বি ডিসাইডিং
Will You be explaining?,তুমি কি ব্যাখ্যা করতে থাকবে?,উইল ইউ বি এক্সপ্লেইনিং
Will You be falling?,তুমি কি পড়ে যাইতে থাকবে?,উইল ইউ বি ফলিং
Will You be getting?,তুমি কি পাইতে থাকবে?,উইল ইউ বি গেটিং
Will You be growing?,তুমি কি বড় হইতে থাকবে?,উইল ইউ বি গ্রোইং
Will You be hoping?,তুমি কি আশা করতে থাকবে?,উইল ইউ বি হোপিং
Will You be joining?,তুমি কি যোগ দিইতে থাকবে?,উইল ইউ বি জয়েনিং
Will You be meeting?,তুমি কি সাক্ষাৎ করতে থাকবে?,উইল ইউ বি মিটিং
Will You be sending?,তুমি কি পাঠাইতে থাকবে?,উইল ইউ বি সেন্ডিং
Will You be spending?,তুমি কি ব্যয় করতে থাকবে?,উইল ইউ বি স্পেন্ডিং
Will You be teaching?,তুমি কি শেখাইতে থাকবে?,উইল ইউ বি টিচিং
Will You be winning?,তুমি কি জয়ী হইতে থাকবে?,উইল ইউ বি উইনিং
