Do you play?,তুমি কি খেলো?,ডু ইউ প্লে
Do you sell?,তুমি কি বিক্রি করো?,ডু ইউ সেল
Do you make?,তুমি কি তৈরি করো?,ডু ইউ মেক
Do you clean?,তুমি কি পরিষ্কার করো?,ডু ইউ ক্লিন
Do you dance?,তুমি কি নাচো?,ডু ইউ ড্যান্স
Do you stop?,তুমি কি থামো?,ডু ইউ স্টপ
Do you start?,তুমি কি শুরু করো?,ডু ইউ স্টার্ট
Do you finish?,তুমি কি শেষ করো?,ডু ইউ ফিনিশ
Do you change?,তুমি কি পরিবর্তন করো?,ডু ইউ চেঞ্জ
Do you pay?,তুমি কি পরিশোধ করো?,ডু ইউ পে
Do you use?,তুমি কি ব্যবহার করো?,ডু ইউ ইউজ
Do you show?,তুমি কি দেখাও?,ডু ইউ শো
Do you tell?,তুমি কি বলো?,ডু ইউ টেল
Do you leave?,তুমি কি ছেড়ে যাও?,ডু ইউ লিভ
Do you bring?,তুমি কি আনো?,ডু ইউ ব্রিং
Do you keep?,তুমি কি রাখো?,ডু ইউ কিপ
Do you put?,তুমি কি রাখো?,ডু ইউ পুট
Do you find?,তুমি কি খুঁজে পাও?,ডু ইউ ফাইন্ড
Do you forget?,তুমি কি ভুলে যাও?,ডু ইউ ফরগেট
Do you remember?,তুমি কি মনে রাখো?,ডু ইউ রিমেম্বার
Do you need?,তোমার কি প্রয়োজন?,ডু ইউ নিড
Do you believe?,তুমি কি বিশ্বাস করো?,ডু ইউ বিলিভ
Do you agree?,তুমি কি রাজি?,ডু ইউ অ্যাগ্রি
Do you answer?,তুমি কি উত্তর দাও?,ডু ইউ আন্সার
Do you break?,তুমি কি ভাঙো?,ডু ইউ ব্রেক
Do you build?,তুমি কি নির্মাণ করো?,ডু ইউ বিল্ড
Do you choose?,তুমি কি পছন্দ করো?,ডু ইউ চুজ
Do you cut?,তুমি কি কাটো?,ডু ইউ কাট
Do you decide?,তুমি কি সিদ্ধান্ত নাও?,ডু ইউ ডিসাইড
Do you explain?,তুমি কি ব্যাখ্যা করো?,ডু ইউ এক্সপ্লেইন
Do you fall?,তুমি কি পড়ে যাও?,ডু ইউ ফল
Do you get?,তুমি কি পাও?,ডু ইউ গেট
Do you grow?,তুমি কি বড় হও?,ডু ইউ গ্রো
Do you hope?,তুমি কি আশা করো?,ডু ইউ হোপ
Do you join?,তুমি কি যোগ দাও?,ডু ইউ জয়েন
Do you meet?,তুমি কি সাক্ষাৎ করো?,ডু ইউ মিট
Do you send?,তুমি কি পাঠাও?,ডু ইউ সেন্ড
Do you spend?,তুমি কি ব্যয় করো?,ডু ইউ স্পেন্ড
Do you teach?,তুমি কি শেখাও?,ডু ইউ টিচ
Do you win?,তুমি কি জয়ী হও?,ডু ইউ উইন
