Are We playing?,আমরা কি খেলছি?,আর উই প্লেয়িং
Are We telling?,আমরা কি বলছি?,আর উই টেলিং
Are We leaving?,আমরা কি ছেড়ে যাচ্ছি?,আর উই লিভিং
Are We bringing?,আমরা কি আনছি?,আর উই ব্রিংইং
Are We keeping?,আমরা কি রাখছি?,আর উই কিপিং
Are We putting?,আমরা কি রাখছি?,আর উই পুটিং
Are We finding?,আমরা কি খুঁজে পাচ্ছি?,আর উই ফাইন্ডিং
Are We forgetting?,আমরা কি ভুলে যাচ্ছি?,আর উই ফরগেটিং
Are We remembering?,আমরা কি মনে রাখছি?,আর উই রিমেম্বারিং
Are We needing?,আমার কি প্রয়োজন হচ্ছে?,আর উই নিডিং
Are We believing?,আমরা কি বিশ্বাস করছি?,আর উই বিলিভিং
Are We agreeing?,আমরা কি রাজি হচ্ছি?,আর উই অ্যাগ্রিইং
Are We answering?,আমরা কি উত্তর দিচ্ছি?,আর উই আন্সারিং
Are We breaking?,আমরা কি ভাঙছি?,আর উই ব্রেকিং
Are We building?,আমরা কি নির্মাণ করছি?,আর উই বিল্ডিং
Are We choosing?,আমরা কি পছন্দ করছি?,আর উই চুজিং
Are We cutting?,আমরা কি কাটছি?,আর উই কাটিং
Are We deciding?,আমরা কি সিদ্ধান্ত নিচ্ছি?,আর উই ডিসাইডিং
Are We explaining?,আমরা কি ব্যাখ্যা করছি?,আর উই এক্সপ্লেইনিং
Are We falling?,আমরা কি পড়ে যাচ্ছি?,আর উই ফলিং
Are We getting?,আমরা কি পাচ্ছি?,আর উই গেটিং
Are We growing?,আমরা কি বড় হচ্ছি?,আর উই গ্রোইং
Are We hoping?,আমরা কি আশা করছি?,আর উই হোপিং
Are We joining?,আমরা কি যোগ দিচ্ছি?,আর উই জয়েনিং
Are We meeting?,আমরা কি সাক্ষাৎ করছি?,আর উই মিটিং
Are We sending?,আমরা কি পাঠাচ্ছি?,আর উই সেন্ডিং
Are We spending?,আমরা কি ব্যয় করছি?,আর উই স্পেন্ডিং
Are We teaching?,আমরা কি শেখাচ্ছি?,আর উই টিচিং
Are We winning?,আমরা কি জয়ী হচ্ছি?,আর উই উইনিং
