He isn't playing,সে খেলছে না,হি ইজন্ট প্লেয়িং
He isn't keeping,সে রাখছে না,হি ইজন্ট কিপিং
He isn't putting,সে রাখছে না,হি ইজন্ট পুটিং
He isn't finding,সে খুঁজে পাচ্ছে না,হি ইজন্ট ফাইন্ডিং
He isn't forgetting,সে ভুলে যাচ্ছে না,হি ইজন্ট ফরগেটিং
He isn't remembering,সে মনে রাখছে না,হি ইজন্ট রিমেম্বারিং
He isn't needing,আমার প্রয়োজন হচ্ছে না,হি ইজন্ট নিডিং
He isn't believing,সে বিশ্বাস করছে না,হি ইজন্ট বিলিভিং
He isn't agreeing,সে রাজি হচ্ছে না,হি ইজন্ট অ্যাগ্রিইং
He isn't answering,সে উত্তর দিচ্ছে না,হি ইজন্ট আন্সারিং
He isn't breaking,সে ভাঙছে না,হি ইজন্ট ব্রেকিং
He isn't building,সে নির্মাণ করছে না,হি ইজন্ট বিল্ডিং
He isn't choosing,সে পছন্দ করছে না,হি ইজন্ট চুজিং
He isn't cutting,সে কাটছে না,হি ইজন্ট কাটিং
He isn't deciding,সে সিদ্ধান্ত নিচ্ছে না,হি ইজন্ট ডিসাইডিং
He isn't explaining,সে ব্যাখ্যা করছে না,হি ইজন্ট এক্সপ্লেইনিং
He isn't falling,সে পড়ে যাচ্ছে না,হি ইজন্ট ফলিং
He isn't getting,সে পাচ্ছে না,হি ইজন্ট গেটিং
He isn't growing,সে বড় হচ্ছে না,হি ইজন্ট গ্রোইং
He isn't hoping,সে আশা করছে না,হি ইজন্ট হোপিং
He isn't joining,সে যোগ দিচ্ছে না,হি ইজন্ট জয়েনিং
He isn't meeting,সে সাক্ষাৎ করছে না,হি ইজন্ট মিটিং
He isn't sending,সে পাঠাচ্ছে না,হি ইজন্ট সেন্ডিং
He isn't spending,সে ব্যয় করছে না,হি ইজন্ট স্পেন্ডিং
He isn't teaching,সে শেখাচ্ছে না,হি ইজন্ট টিচিং
He isn't winning,সে জয়ী হচ্ছে না,হি ইজন্ট উইনিং
