He was playing,সে খেলছিল,হি ওয়াজ প্লেয়িং
He was finding,সে খুঁজে পাচ্ছিল,হি ওয়াজ ফাইন্ডিং
He was forgetting,সে ভুলে যাচ্ছিল,হি ওয়াজ ফরগেটিং
He was remembering,সে মনে রাখছিল,হি ওয়াজ রিমেম্বারিং
He was needing,আমার প্রয়োজন হচ্ছিল,হি ওয়াজ নিডিং
He was believing,সে বিশ্বাস করছিল,হি ওয়াজ বিলিভিং
He was agreeing,সে রাজি হচ্ছিল,হি ওয়াজ অ্যাগ্রিইং
He was answering,সে উত্তর দিচ্ছিল,হি ওয়াজ আন্সারিং
He was breaking,সে ভাঙছিল,হি ওয়াজ ব্রেকিং
He was building,সে নির্মাণ করছিল,হি ওয়াজ বিল্ডিং
He was choosing,সে পছন্দ করছিল,হি ওয়াজ চুজিং
He was cutting,সে কাটছিল,হি ওয়াজ কাটিং
He was deciding,সে সিদ্ধান্ত নিচ্ছিল,হি ওয়াজ ডিসাইডিং
He was explaining,সে ব্যাখ্যা করছিল,হি ওয়াজ এক্সপ্লেইনিং
He was falling,সে পড়ে যাচ্ছিল,হি ওয়াজ ফলিং
He was getting,সে পাচ্ছিল,হি ওয়াজ গেটিং
He was growing,সে বড় হচ্ছিল,হি ওয়াজ গ্রোইং
He was hoping,সে আশা করছিল,হি ওয়াজ হোপিং
He was joining,সে যোগ দিচ্ছিল,হি ওয়াজ জয়েনিং
He was meeting,সে সাক্ষাৎ করছিল,হি ওয়াজ মিটিং
He was sending,সে পাঠাচ্ছিল,হি ওয়াজ সেন্ডিং
He was spending,সে ব্যয় করছিল,হি ওয়াজ স্পেন্ডিং
He was teaching,সে শেখাচ্ছিল,হি ওয়াজ টিচিং
He was winning,সে জয়ী হচ্ছিল,হি ওয়াজ উইনিং
