Wasn't He playing?,সে কি খেলছিল না?,ওয়াজন্ট হি প্লেয়িং
Wasn't He believing?,সে কি বিশ্বাস করছিল না?,ওয়াজন্ট হি বিলিভিং
Wasn't He agreeing?,সে কি রাজি হচ্ছিল না?,ওয়াজন্ট হি অ্যাগ্রিইং
Wasn't He answering?,সে কি উত্তর দিচ্ছিল না?,ওয়াজন্ট হি আন্সারিং
Wasn't He breaking?,সে কি ভাঙছিল না?,ওয়াজন্ট হি ব্রেকিং
Wasn't He building?,সে কি নির্মাণ করছিল না?,ওয়াজন্ট হি বিল্ডিং
Wasn't He choosing?,সে কি পছন্দ করছিল না?,ওয়াজন্ট হি চুজিং
Wasn't He cutting?,সে কি কাটছিল না?,ওয়াজন্ট হি কাটিং
Wasn't He deciding?,সে কি সিদ্ধান্ত নিচ্ছিল না?,ওয়াজন্ট হি ডিসাইডিং
Wasn't He explaining?,সে কি ব্যাখ্যা করছিল না?,ওয়াজন্ট হি এক্সপ্লেইনিং
Wasn't He falling?,সে কি পড়ে যাচ্ছিল না?,ওয়াজন্ট হি ফলিং
Wasn't He getting?,সে কি পাচ্ছিল না?,ওয়াজন্ট হি গেটিং
Wasn't He growing?,সে কি বড় হচ্ছিল না?,ওয়াজন্ট হি গ্রোইং
Wasn't He hoping?,সে কি আশা করছিল না?,ওয়াজন্ট হি হোপিং
Wasn't He joining?,সে কি যোগ দিচ্ছিল না?,ওয়াজন্ট হি জয়েনিং
Wasn't He meeting?,সে কি সাক্ষাৎ করছিল না?,ওয়াজন্ট হি মিটিং
Wasn't He sending?,সে কি পাঠাচ্ছিল না?,ওয়াজন্ট হি সেন্ডিং
Wasn't He spending?,সে কি ব্যয় করছিল না?,ওয়াজন্ট হি স্পেন্ডিং
Wasn't He teaching?,সে কি শেখাচ্ছিল না?,ওয়াজন্ট হি টিচিং
Wasn't He winning?,সে কি জয়ী হচ্ছিল না?,ওয়াজন্ট হি উইনিং
