Are You playing?,তুমি কি খেলছো?,আর ইউ প্লেয়িং
Are You starting?,তুমি কি শুরু করছো?,আর ইউ স্টার্টিং
Are You finishing?,তুমি কি শেষ করছো?,আর ইউ ফিনিশিং
Are You changing?,তুমি কি পরিবর্তন করছো?,আর ইউ চেঞ্জিং
Are You paying?,তুমি কি পরিশোধ করছো?,আর ইউ পেয়িং
Are You using?,তুমি কি ব্যবহার করছো?,আর ইউ ইউজিং
Are You showing?,তুমি কি দেখাচ্ছো?,আর ইউ শোইং
Are You telling?,তুমি কি বলছো?,আর ইউ টেলিং
Are You leaving?,তুমি কি ছেড়ে যাচ্ছো?,আর ইউ লিভিং
Are You bringing?,তুমি কি আনছো?,আর ইউ ব্রিংইং
Are You keeping?,তুমি কি রাখছো?,আর ইউ কিপিং
Are You putting?,তুমি কি রাখছো?,আর ইউ পুটিং
Are You finding?,তুমি কি খুঁজে পাচ্ছো?,আর ইউ ফাইন্ডিং
Are You forgetting?,তুমি কি ভুলে যাচ্ছো?,আর ইউ ফরগেটিং
Are You remembering?,তুমি কি মনে রাখছো?,আর ইউ রিমেম্বারিং
Are You needing?,আমার কি প্রয়োজন হচ্ছে?,আর ইউ নিডিং
Are You believing?,তুমি কি বিশ্বাস করছো?,আর ইউ বিলিভিং
Are You agreeing?,তুমি কি রাজি হচ্ছো?,আর ইউ অ্যাগ্রিইং
Are You answering?,তুমি কি উত্তর দিচ্ছো?,আর ইউ আন্সারিং
Are You breaking?,তুমি কি ভাঙছো?,আর ইউ ব্রেকিং
Are You building?,তুমি কি নির্মাণ করছো?,আর ইউ বিল্ডিং
Are You choosing?,তুমি কি পছন্দ করছো?,আর ইউ চুজিং
Are You cutting?,তুমি কি কাটছো?,আর ইউ কাটিং
Are You deciding?,তুমি কি সিদ্ধান্ত নিচ্ছো?,আর ইউ ডিসাইডিং
Are You explaining?,তুমি কি ব্যাখ্যা করছো?,আর ইউ এক্সপ্লেইনিং
Are You falling?,তুমি কি পড়ে যাচ্ছো?,আর ইউ ফলিং
Are You getting?,তুমি কি পাচ্ছো?,আর ইউ গেটিং
Are You growing?,তুমি কি বড় হচ্ছো?,আর ইউ গ্রোইং
Are You hoping?,তুমি কি আশা করছো?,আর ইউ হোপিং
Are You joining?,তুমি কি যোগ দিচ্ছো?,আর ইউ জয়েনিং
Are You meeting?,তুমি কি সাক্ষাৎ করছো?,আর ইউ মিটিং
Are You sending?,তুমি কি পাঠাচ্ছো?,আর ইউ সেন্ডিং
Are You spending?,তুমি কি ব্যয় করছো?,আর ইউ স্পেন্ডিং
Are You teaching?,তুমি কি শেখাচ্ছো?,আর ইউ টিচিং
Are You winning?,তুমি কি জয়ী হচ্ছো?,আর ইউ উইনিং
