You will be playing,তুমি খেলতে থাকবে,ইউ উইল বি প্লেয়িং
You will be stopping,তুমি থামতে থাকবে,ইউ উইল বি স্টপিং
You will be starting,তুমি শুরু করতে থাকবে,ইউ উইল বি স্টার্টিং
You will be finishing,তুমি শেষ করতে থাকবে,ইউ উইল বি ফিনিশিং
You will be changing,তুমি পরিবর্তন করতে থাকবে,ইউ উইল বি চেঞ্জিং
You will be paying,তুমি পরিশোধ করতে থাকবে,ইউ উইল বি পেয়িং
You will be using,তুমি ব্যবহার করতে থাকবে,ইউ উইল বি ইউজিং
You will be showing,তুমি দেখাইতে থাকবে,ইউ উইল বি শোইং
You will be telling,তুমি বলতে থাকবে,ইউ উইল বি টেলিং
You will be leaving,তুমি ছেড়ে যাইতে থাকবে,ইউ উইল বি লিভিং
You will be bringing,তুমি আনতে থাকবে,ইউ উইল বি ব্রিংইং
You will be keeping,তুমি রাখতে থাকবে,ইউ উইল বি কিপিং
You will be putting,তুমি রাখতে থাকবে,ইউ উইল বি পুটিং
You will be finding,তুমি খুঁজে পাইতে থাকবে,ইউ উইল বি ফাইন্ডিং
You will be forgetting,তুমি ভুলে যাইতে থাকবে,ইউ উইল বি ফরগেটিং
You will be remembering,তুমি মনে রাখতে থাকবে,ইউ উইল বি রিমেম্বারিং
You will be needing,তুমি প্রয়োজনতে থাকবে,ইউ উইল বি নিডিং
You will be believing,তুমি বিশ্বাস করতে থাকবে,ইউ উইল বি বিলিভিং
You will be agreeing,তুমি রাজতে থাকবে,ইউ উইল বি অ্যাগ্রিইং
You will be answering,তুমি উত্তর দেইতে থাকবে,ইউ উইল বি আন্সারিং
You will be breaking,তুমি ভাঙতে থাকবে,ইউ উইল বি ব্রেকিং
You will be building,তুমি নির্মাণ করতে থাকবে,ইউ উইল বি বিল্ডিং
You will be choosing,তুমি পছন্দ করতে থাকবে,ইউ উইল বি চুজিং
You will be cutting,তুমি কাটতে থাকবে,ইউ উইল বি কাটিং
You will be deciding,তুমি সিদ্ধান্ত নিইতে থাকবে,ইউ উইল বি ডিসাইডিং
You will be explaining,তুমি ব্যাখ্যা করতে থাকবে,ইউ উইল বি এক্সপ্লেইনিং
You will be falling,তুমি পড়ে যাইতে থাকবে,ইউ উইল বি ফলিং
You will be getting,তুমি পাইতে থাকবে,ইউ উইল বি গেটিং
You will be growing,তুমি বড় হইতে থাকবে,ইউ উইল বি গ্রোইং
You will be hoping,তুমি আশা করতে থাকবে,ইউ উইল বি হোপিং
You will be joining,তুমি যোগ দিইতে থাকবে,ইউ উইল বি জয়েনিং
You will be meeting,তুমি সাক্ষাৎ করতে থাকবে,ইউ উইল বি মিটিং
You will be sending,তুমি পাঠাইতে থাকবে,ইউ উইল বি সেন্ডিং
You will be spending,তুমি ব্যয় করতে থাকবে,ইউ উইল বি স্পেন্ডিং
You will be teaching,তুমি শেখাইতে থাকবে,ইউ উইল বি টিচিং
You will be winning,তুমি জয়ী হইতে থাকবে,ইউ উইল বি উইনিং
