You won't be playing,তুমি খেলতে থাকব না,ইউ ওয়োন্ট বি প্লেয়িং
You won't be forgetting,তুমি ভুলে যাইতে থাকব না,ইউ ওয়োন্ট বি ফরগেটিং
You won't be remembering,তুমি মনে রাখতে থাকব না,ইউ ওয়োন্ট বি রিমেম্বারিং
You won't be needing,তুমি প্রয়োজন নেইতে থাকবে,ইউ ওয়োন্ট বি নিডিং
You won't be believing,তুমি বিশ্বাস করতে থাকব না,ইউ ওয়োন্ট বি বিলিভিং
You won't be agreeing,তুমি রাজি নইতে থাকবে,ইউ ওয়োন্ট বি অ্যাগ্রিইং
You won't be answering,তুমি উত্তর দেইতে থাকব না,ইউ ওয়োন্ট বি আন্সারিং
You won't be breaking,তুমি ভাঙতে থাকব না,ইউ ওয়োন্ট বি ব্রেকিং
You won't be building,তুমি নির্মাণ করতে থাকব না,ইউ ওয়োন্ট বি বিল্ডিং
You won't be choosing,তুমি পছন্দ করতে থাকব না,ইউ ওয়োন্ট বি চুজিং
You won't be cutting,তুমি কাটতে থাকব না,ইউ ওয়োন্ট বি কাটিং
You won't be deciding,তুমি সিদ্ধান্ত নিইতে থাকব না,ইউ ওয়োন্ট বি ডিসাইডিং
You won't be explaining,তুমি ব্যাখ্যা করতে থাকব না,ইউ ওয়োন্ট বি এক্সপ্লেইনিং
You won't be falling,তুমি পড়ে যাইতে থাকব না,ইউ ওয়োন্ট বি ফলিং
You won't be getting,তুমি পাইতে থাকব না,ইউ ওয়োন্ট বি গেটিং
You won't be growing,তুমি বড় হইতে থাকব না,ইউ ওয়োন্ট বি গ্রোইং
You won't be hoping,তুমি আশা করতে থাকব না,ইউ ওয়োন্ট বি হোপিং
You won't be joining,তুমি যোগ দিইতে থাকব না,ইউ ওয়োন্ট বি জয়েনিং
You won't be meeting,তুমি সাক্ষাৎ করতে থাকব না,ইউ ওয়োন্ট বি মিটিং
You won't be sending,তুমি পাঠাইতে থাকব না,ইউ ওয়োন্ট বি সেন্ডিং
You won't be spending,তুমি ব্যয় করতে থাকব না,ইউ ওয়োন্ট বি স্পেন্ডিং
You won't be teaching,তুমি শেখাইতে থাকব না,ইউ ওয়োন্ট বি টিচিং
You won't be winning,তুমি জয়ী হইতে থাকব না,ইউ ওয়োন্ট বি উইনিং
