Was He playing?,সে কি খেলছিল?,ওয়াজ হি প্লেয়িং
Was He needing?,আমার কি প্রয়োজন হচ্ছিল?,ওয়াজ হি নিডিং
Was He believing?,সে কি বিশ্বাস করছিল?,ওয়াজ হি বিলিভিং
Was He agreeing?,সে কি রাজি হচ্ছিল?,ওয়াজ হি অ্যাগ্রিইং
Was He answering?,সে কি উত্তর দিচ্ছিল?,ওয়াজ হি আন্সারিং
Was He breaking?,সে কি ভাঙছিল?,ওয়াজ হি ব্রেকিং
Was He building?,সে কি নির্মাণ করছিল?,ওয়াজ হি বিল্ডিং
Was He choosing?,সে কি পছন্দ করছিল?,ওয়াজ হি চুজিং
Was He cutting?,সে কি কাটছিল?,ওয়াজ হি কাটিং
Was He deciding?,সে কি সিদ্ধান্ত নিচ্ছিল?,ওয়াজ হি ডিসাইডিং
Was He explaining?,সে কি ব্যাখ্যা করছিল?,ওয়াজ হি এক্সপ্লেইনিং
Was He falling?,সে কি পড়ে যাচ্ছিল?,ওয়াজ হি ফলিং
Was He getting?,সে কি পাচ্ছিল?,ওয়াজ হি গেটিং
Was He growing?,সে কি বড় হচ্ছিল?,ওয়াজ হি গ্রোইং
Was He hoping?,সে কি আশা করছিল?,ওয়াজ হি হোপিং
Was He joining?,সে কি যোগ দিচ্ছিল?,ওয়াজ হি জয়েনিং
Was He meeting?,সে কি সাক্ষাৎ করছিল?,ওয়াজ হি মিটিং
Was He sending?,সে কি পাঠাচ্ছিল?,ওয়াজ হি সেন্ডিং
Was He spending?,সে কি ব্যয় করছিল?,ওয়াজ হি স্পেন্ডিং
Was He teaching?,সে কি শেখাচ্ছিল?,ওয়াজ হি টিচিং
Was He winning?,সে কি জয়ী হচ্ছিল?,ওয়াজ হি উইনিং
