They will be playing,তারা খেলতে থাকবে,দে উইল বি প্লেয়িং
They will be dancing,তারা নাচতে থাকবে,দে উইল বি ড্যান্সিং
They will be stopping,তারা থামতে থাকবে,দে উইল বি স্টপিং
They will be starting,তারা শুরু করতে থাকবে,দে উইল বি স্টার্টিং
They will be finishing,তারা শেষ করতে থাকবে,দে উইল বি ফিনিশিং
They will be changing,তারা পরিবর্তন করতে থাকবে,দে উইল বি চেঞ্জিং
They will be paying,তারা পরিশোধ করতে থাকবে,দে উইল বি পেয়িং
They will be using,তারা ব্যবহার করতে থাকবে,দে উইল বি ইউজিং
They will be showing,তারা দেখাইতে থাকবে,দে উইল বি শোইং
They will be telling,তারা বলতে থাকবে,দে উইল বি টেলিং
They will be leaving,তারা ছেড়ে যাইতে থাকবে,দে উইল বি লিভিং
They will be bringing,তারা আনতে থাকবে,দে উইল বি ব্রিংইং
They will be keeping,তারা রাখতে থাকবে,দে উইল বি কিপিং
They will be putting,তারা রাখতে থাকবে,দে উইল বি পুটিং
They will be finding,তারা খুঁজে পাইতে থাকবে,দে উইল বি ফাইন্ডিং
They will be forgetting,তারা ভুলে যাইতে থাকবে,দে উইল বি ফরগেটিং
They will be remembering,তারা মনে রাখতে থাকবে,দে উইল বি রিমেম্বারিং
They will be needing,তারা প্রয়োজনতে থাকবে,দে উইল বি নিডিং
They will be believing,তারা বিশ্বাস করতে থাকবে,দে উইল বি বিলিভিং
They will be agreeing,তারা রাজতে থাকবে,দে উইল বি অ্যাগ্রিইং
They will be answering,তারা উত্তর দেইতে থাকবে,দে উইল বি আন্সারিং
They will be breaking,তারা ভাঙতে থাকবে,দে উইল বি ব্রেকিং
They will be building,তারা নির্মাণ করতে থাকবে,দে উইল বি বিল্ডিং
They will be choosing,তারা পছন্দ করতে থাকবে,দে উইল বি চুজিং
They will be cutting,তারা কাটতে থাকবে,দে উইল বি কাটিং
They will be deciding,তারা সিদ্ধান্ত নিইতে থাকবে,দে উইল বি ডিসাইডিং
They will be explaining,তারা ব্যাখ্যা করতে থাকবে,দে উইল বি এক্সপ্লেইনিং
They will be falling,তারা পড়ে যাইতে থাকবে,দে উইল বি ফলিং
They will be getting,তারা পাইতে থাকবে,দে উইল বি গেটিং
They will be growing,তারা বড় হইতে থাকবে,দে উইল বি গ্রোইং
They will be hoping,তারা আশা করতে থাকবে,দে উইল বি হোপিং
They will be joining,তারা যোগ দিইতে থাকবে,দে উইল বি জয়েনিং
They will be meeting,তারা সাক্ষাৎ করতে থাকবে,দে উইল বি মিটিং
They will be sending,তারা পাঠাইতে থাকবে,দে উইল বি সেন্ডিং
They will be spending,তারা ব্যয় করতে থাকবে,দে উইল বি স্পেন্ডিং
They will be teaching,তারা শেখাইতে থাকবে,দে উইল বি টিচিং
They will be winning,তারা জয়ী হইতে থাকবে,দে উইল বি উইনিং
