Weren't We playing?,আমরা কি খেলছিলাম না?,ওয়ারন্ট উই প্লেয়িং
Weren't We studying?,আমরা কি পড়াশোনা করছিলাম না?,ওয়ারন্ট উই স্টাডিইং
Weren't We washing?,আমরা কি ধুছিলাম না?,ওয়ারন্ট উই ওয়াশিং
Weren't We watching?,আমরা কি দেখছিলাম না?,ওয়ারন্ট উই ওয়াচিং
Weren't We buying?,আমরা কি কিনছিলাম না?,ওয়ারন্ট উই বাইইং
Weren't We selling?,আমরা কি বিক্রি করছিলাম না?,ওয়ারন্ট উই সেলিং
Weren't We making?,আমরা কি তৈরি করছিলাম না?,ওয়ারন্ট উই মেকিং
Weren't We cleaning?,আমরা কি পরিষ্কার করছিলাম না?,ওয়ারন্ট উই ক্লিনিং
Weren't We dancing?,আমরা কি নাচছিলাম না?,ওয়ারন্ট উই ড্যান্সিং
Weren't We stopping?,আমরা কি থামছিলাম না?,ওয়ারন্ট উই স্টপিং
Weren't We starting?,আমরা কি শুরু করছিলাম না?,ওয়ারন্ট উই স্টার্টিং
Weren't We finishing?,আমরা কি শেষ করছিলাম না?,ওয়ারন্ট উই ফিনিশিং
Weren't We changing?,আমরা কি পরিবর্তন করছিলাম না?,ওয়ারন্ট উই চেঞ্জিং
Weren't We paying?,আমরা কি পরিশোধ করছিলাম না?,ওয়ারন্ট উই পেয়িং
Weren't We using?,আমরা কি ব্যবহার করছিলাম না?,ওয়ারন্ট উই ইউজিং
Weren't We showing?,আমরা কি দেখাচ্ছিলাম না?,ওয়ারন্ট উই শোইং
Weren't We telling?,আমরা কি বলছিলাম না?,ওয়ারন্ট উই টেলিং
Weren't We leaving?,আমরা কি ছেড়ে যাচ্ছিলাম না?,ওয়ারন্ট উই লিভিং
Weren't We bringing?,আমরা কি আনছিলাম না?,ওয়ারন্ট উই ব্রিংইং
Weren't We keeping?,আমরা কি রাখছিলাম না?,ওয়ারন্ট উই কিপিং
Weren't We putting?,আমরা কি রাখছিলাম না?,ওয়ারন্ট উই পুটিং
Weren't We finding?,আমরা কি খুঁজে পাচ্ছিলাম না?,ওয়ারন্ট উই ফাইন্ডিং
Weren't We forgetting?,আমরা কি ভুলে যাচ্ছিলাম না?,ওয়ারন্ট উই ফরগেটিং
Weren't We remembering?,আমরা কি মনে রাখছিলাম না?,ওয়ারন্ট উই রিমেম্বারিং
Weren't We needing?,আমার কি প্রয়োজন হচ্ছিল না?,ওয়ারন্ট উই নিডিং
Weren't We believing?,আমরা কি বিশ্বাস করছিলাম না?,ওয়ারন্ট উই বিলিভিং
Weren't We agreeing?,আমরা কি রাজি হচ্ছিলাম না?,ওয়ারন্ট উই অ্যাগ্রিইং
Weren't We answering?,আমরা কি উত্তর দিচ্ছিলাম না?,ওয়ারন্ট উই আন্সারিং
Weren't We breaking?,আমরা কি ভাঙছিলাম না?,ওয়ারন্ট উই ব্রেকিং
Weren't We building?,আমরা কি নির্মাণ করছিলাম না?,ওয়ারন্ট উই বিল্ডিং
Weren't We choosing?,আমরা কি পছন্দ করছিলাম না?,ওয়ারন্ট উই চুজিং
Weren't We cutting?,আমরা কি কাটছিলাম না?,ওয়ারন্ট উই কাটিং
Weren't We deciding?,আমরা কি সিদ্ধান্ত নিচ্ছিলাম না?,ওয়ারন্ট উই ডিসাইডিং
Weren't We explaining?,আমরা কি ব্যাখ্যা করছিলাম না?,ওয়ারন্ট উই এক্সপ্লেইনিং
Weren't We falling?,আমরা কি পড়ে যাচ্ছিলাম না?,ওয়ারন্ট উই ফলিং
Weren't We getting?,আমরা কি পাচ্ছিলাম না?,ওয়ারন্ট উই গেটিং
Weren't We growing?,আমরা কি বড় হচ্ছিলাম না?,ওয়ারন্ট উই গ্রোইং
Weren't We hoping?,আমরা কি আশা করছিলাম না?,ওয়ারন্ট উই হোপিং
Weren't We joining?,আমরা কি যোগ দিচ্ছিলাম না?,ওয়ারন্ট উই জয়েনিং
Weren't We meeting?,আমরা কি সাক্ষাৎ করছিলাম না?,ওয়ারন্ট উই মিটিং
Weren't We sending?,আমরা কি পাঠাচ্ছিলাম না?,ওয়ারন্ট উই সেন্ডিং
Weren't We spending?,আমরা কি ব্যয় করছিলাম না?,ওয়ারন্ট উই স্পেন্ডিং
Weren't We teaching?,আমরা কি শেখাচ্ছিলাম না?,ওয়ারন্ট উই টিচিং
Weren't We winning?,আমরা কি জয়ী হচ্ছিলাম না?,ওয়ারন্ট উই উইনিং
