Are you playing?,তুমি কি খেলছো?,আর ইউ প্লেয়িং
Are you starting?,তুমি কি শুরু করছো?,আর ইউ স্টার্টিং
Are you finishing?,তুমি কি শেষ করছো?,আর ইউ ফিনিশিং
Are you changing?,তুমি কি পরিবর্তন করছো?,আর ইউ চেঞ্জিং
Are you paying?,তুমি কি পরিশোধ করছো?,আর ইউ পেয়িং
Are you using?,তুমি কি ব্যবহার করছো?,আর ইউ ইউজিং
Are you showing?,তুমি কি দেখাচ্ছো?,আর ইউ শোইং
Are you telling?,তুমি কি বলছো?,আর ইউ টেলিং
Are you leaving?,তুমি কি ছেড়ে যাচ্ছো?,আর ইউ লিভিং
Are you bringing?,তুমি কি আনছো?,আর ইউ ব্রিংইং
Are you keeping?,তুমি কি রাখছো?,আর ইউ কিপিং
Are you putting?,তুমি কি রাখছো?,আর ইউ পুটিং
Are you finding?,তুমি কি খুঁজে পাচ্ছো?,আর ইউ ফাইন্ডিং
Are you forgetting?,তুমি কি ভুলে যাচ্ছো?,আর ইউ ফরগেটিং
Are you remembering?,তুমি কি মনে রাখছো?,আর ইউ রিমেম্বারিং
Are you needing?,তোমার কি প্রয়োজন হচ্ছে?,আর ইউ নিডিং
Are you believing?,তুমি কি বিশ্বাস করছো?,আর ইউ বিলিভিং
Are you agreeing?,তুমি কি রাজি হচ্ছো?,আর ইউ অ্যাগ্রিইং
Are you answering?,তুমি কি উত্তর দিচ্ছো?,আর ইউ আন্সারিং
Are you breaking?,তুমি কি ভাঙছো?,আর ইউ ব্রেকিং
Are you building?,তুমি কি নির্মাণ করছো?,আর ইউ বিল্ডিং
Are you choosing?,তুমি কি পছন্দ করছো?,আর ইউ চুজিং
Are you cutting?,তুমি কি কাটছো?,আর ইউ কাটিং
Are you deciding?,তুমি কি সিদ্ধান্ত নিচ্ছো?,আর ইউ ডিসাইডিং
Are you explaining?,তুমি কি ব্যাখ্যা করছো?,আর ইউ এক্সপ্লেইনিং
Are you falling?,তুমি কি পড়ে যাচ্ছো?,আর ইউ ফলিং
Are you getting?,তুমি কি পাচ্ছো?,আর ইউ গেটিং
Are you growing?,তুমি কি বড় হচ্ছো?,আর ইউ গ্রোইং
Are you hoping?,তুমি কি আশা করছো?,আর ইউ হোপিং
Are you joining?,তুমি কি যোগ দিচ্ছো?,আর ইউ জয়েনিং
Are you meeting?,তুমি কি সাক্ষাৎ করছো?,আর ইউ মিটিং
Are you sending?,তুমি কি পাঠাচ্ছো?,আর ইউ সেন্ডিং
Are you spending?,তুমি কি ব্যয় করছো?,আর ইউ স্পেন্ডিং
Are you teaching?,তুমি কি শেখাচ্ছো?,আর ইউ টিচিং
Are you winning?,তুমি কি জয়ী হচ্ছো?,আর ইউ উইনিং
